abbreviated,label
NHawOPacIs,Total Population-Native Hawiian or Other Pacific Islander
Other,Total Population-Some Other Race
R2orMore,Total Population-Two or More Races
R2orMInOth,"Total Population-Two or More Races, Including Some Other Race"
R2orMNO3R,"Total Population-Two or More Races, Excluding Some Other Race, and Three or More Races"
TotHispNoH,Total Population-Hispanic or Not Hispanic or Latino
NotHisp,Total Population-Not Hispanic or Latino
Hisp,Total Population-Hispanic or Latino
TotalHouse,Total Households
FamHouse,Family Households
FHMarrCoup,Family Households-Married-Couple Family
FHOthFam,Family Households-Other Family
FHMaleHous,"Family Households-Other Family-Male Householder, No Wife Present"
FHFemHous,"Family Households-Other Family-Female Householder, No Husband Present"
NonFamHous,Nonfamily Households
NFHAlone,Nonfamily Households-Householder Living Alone
NFHNotAln,Nonfamily Households-Householder Not Living Alone
MedHousInc,Median Household Income in the Past 12 Months
MedFamInc,Median Family Income in the Past 12 Months
PerCapInc,Per Capita Income in the Past 12 Months
TotalUnits,Total Housing Units
Occupied,Occupied Units
Vacant,Vacant Units
GrpQrtPop,Total Population-Group Quarters
TotPop25Ov,Total Population 25 years and Over
Male1,Total Males 25 Years and Over
MNoSchool,Male-No Schooling Completed
MNursto4Gr,Male-Nursery to 4th Grade
M5and6Gr,Male-5th and 6th Grade
M7and8Gr,Male-7th and 8th Grade
M9Gr,Male-9th Grade
M10Gr,Male-10th Grade
M11Gr,Male-11th Grade
M12GrNoDip,"Male-12th Grade, No Diploma"
MHSGdorGED,"Male-High School Graduate, GED, or Alternative"
MColless1Y,"Male-Some College, Less Than 1 Year"
MColNoDeg,"Male-Some College, 1 or More Years, No Degree"
MAsscDeg,Male-Associate's Degree
MBachDeg,Male-Bachelor's Degree
MMastDeg,Male-Master's Degree
MProfDeg,Male-Professional School Degree
MDocDeg,Male-Doctorate Degree
Female1,Total Females 25 Years and Over
FNoSchool,Female-No Schooling Completed
FNursto4Gr,Female-Nursery to 4th Grade
F5and6Gr,Female-5th and 6th Grade
F7and8Gr,Female-7th and 8th Grade
F9Gr,Female-9th Grade
F10Gr,Female-10th Grade
F11Gr,Female-11th Grade
F12GrNoDip,"Female-12th Grade, No Diploma"
FHSGdorGED,"Female-High School Graduate, GED, or Alternative"
FColless1Y,"Female-Some College, Less Than 1 Year"
FColNoDeg,"Female-Some College, 1 or More Years, No Degree"
FAsscDeg,Female-Associate's Degree
FBachDeg,Female-Bachelor's Degree
FMastDeg,Female-Master's Degree
FProfDeg,Female-Professional School Degree
FDocDeg,Female-Doctorate Degree
OwnOccUnit,Total-Owner Occupied Units
OVLess10K,"Value Less than $10,000"
OV10K14999,"Value $10,000 to $14,999"
OV15K19999,"Value $15,000 to $19,999"
OV20K24999,"Value $20,000 to $24,999"
OV25K29999,"Value $25,000 to $29,999"
OV30K34999,"Value $30,000 to $34,999"
OV35K39999,"Value $35,000 to $39,999"
OV40K49999,"Value $40,000 to $49,999"
OV50K5999,"Value $50,000 to $59,999"
OV60K69999,"Value $60,000 to $69,999"
OV70K79999,"Value $70,000 to $79,999"
OV80K89999,"Value $80,000 to $89,999"
OV90K99999,"Value $90,0000 to $99,999"
OV100K1249,"Value $100,000 to $124,999"
OV125K1499,"Value $125,000 to $149,999"
OV150K1749,"Value $150,000 to $174,999"
OV175K1999,"Value $175,000 to $199,999"
OV200K2499,"Value $2000,000 to $249,999"
OV250K2999,"Value $250,000 to $299,999"
OV300K3999,"Value $300,000 to $399,999"
OV400K4999,"Value $4000,000 to $499,999"
OV500K7499,"Value $500,000 to $749,999"
OV750K9999,"Value $750,000 to $999,999"
OV1MillUp,"$1,000,000 or more"
MedValHous,Median Value (Dollars)
Shape_Area,Area of feature in internal units squared.
